,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
149150_2..N08R::1404705600.0,25,-2,7,29,-1,2,-17,24,11,9,-77,3,21,11,11,-11,4,20,19,-2,12,2,9,-6,-27,20,-5,57,19,13,-7,25,-14,-41,21,-2,7,15,19,80,2,-4,10,16,28,19,9,3,23,,,,,,,,,,,3,-7,-2,5,-4,0,7,0,-9,-3,-9,-3,,,,,,,,,,
004100_2..N08R::1404705600.0,39,10,-2,77,-2,-8,-6,12,-2,-56,49,-4,3,-79,14,3,0,5,-20,-32,13,14,-15,-9,0,-14,20,57,8,-1,3,11,-23,-13,24,5,-2,10,-9,21,-72,-11,10,-8,14,-7,-3,12,0,,,,,,,,,,,-6,-8,2,14,-7,3,-15,-1,-5,-2,2,10,,,,,,,,,,
151150_2..N08R::1404705600.0,10,-10,18,141,5,12,-4,177,13,11,-71,3,28,11,-12,-9,6,20,-8,-2,13,17,-11,5,16,-8,0,53,20,0,-1,21,-7,1,25,17,8,5,-8,28,11,1,17,13,16,15,-11,7,12,,,,,,,,,,,14,7,16,-5,32,-9,-27,-15,9,-67,-20,-13,,,,,,,,,,
153150_2..N08R::1404705600.0,-5,3,9,233,-2,14,3,14,-7,-10,-70,11,17,-19,14,6,2,6,-1,-7,7,-1,0,-6,-9,-13,11,59,-14,13,-9,20,-9,11,-7,-25,68,-14,-2,86,-28,6,3,-4,-3,-11,6,9,12,,,,,,,,,,,-10,-12,-1,-2,21,5,21,-1,-7,5,13,-11,,,,,,,,,,
155150_2..N08R::1404705600.0,32,13,13,25,16,-7,16,7,30,26,-85,-6,41,71,-7,-2,6,20,10,31,15,26,8,24,-7,56,32,58,12,16,-2,107,-2,6,-16,21,-8,-10,19,25,7,-7,22,-8,57,33,12,-13,12,,,,,,,,,,,-6,16,-8,-4,26,10,20,-6,13,-13,2,9,,,,,,,,,,
013100_2..N08R::1404705600.0,-344,-6,-8,41,-2,-2,-9,18,10,6,-90,3,24,-49,15,-11,-32,14,18,-5,11,-21,-15,5,1,-3,14,44,-47,-4,0,55,18,-16,8,19,-11,2,-50,10,14,13,8,10,16,52,-5,-7,0,,,,,,,,,,,3,-4,1,6,-1,4,18,-7,-12,-1,2,12,,,,,,,,,,
015100_2..N08R::1404705600.0,-356,3,-2,27,-6,1,9,50,8,16,-87,-13,26,-19,12,-10,18,-7,3,-2,4,-1,-10,-12,6,-4,9,17,-63,2,18,35,-7,-5,17,1,18,5,8,29,-5,5,18,12,30,5,-1,-6,15,,,,,,,,,,,-13,11,-9,-4,1,-22,-9,3,0,9,7,-16,,,,,,,,,,
017100_2..N08R::1404705600.0,-332,-2,14,-3,-10,1,-7,61,17,-22,130,0,20,-19,10,7,-6,1,1,-3,-7,11,-10,4,-19,19,32,51,-52,5,-78,-6,-2,1,7,-10,-2,-17,-10,-23,-1,-14,0,-4,28,8,-20,-13,33,,,,,,,,,,,-2,25,-11,0,7,-15,3,13,11,-5,-11,4,,,,,,,,,,
019100_2..N08R::1404705600.0,-334,5,14,31,-8,-16,-17,80,6,9,-78,16,7,-19,-2,-15,-28,16,-4,7,9,-2,-18,14,10,13,-2,67,-45,18,16,4,7,-9,8,12,5,11,17,1,21,14,11,11,25,22,-8,-75,21,,,,,,,,,,,5,-6,-3,-1,20,19,22,0,17,-8,17,-7,,,,,,,,,,
021100_2..N08R::1404705600.0,-354,18,0,44,0,18,-11,5,-13,9,51,-7,8,-19,3,13,2,-7,-9,-2,11,11,10,11,-10,-10,-2,67,241,-9,-6,16,10,5,-7,18,8,-4,-10,12,0,16,25,5,-12,17,6,14,-7,,,,,,,,,,,-6,-11,-4,4,5,-16,-37,18,11,-11,-9,-4,,,,,,,,,,
023100_2..N08R::1404705600.0,-366,3,16,35,-2,-1,6,7,18,10,99,0,11,-19,-22,-13,20,19,-8,20,-67,-6,-7,-5,2,-6,0,42,-47,2,1,13,11,-14,6,1,10,5,6,-9,-19,-12,12,10,73,18,-14,-7,0,,,,,,,,,,,7,-33,6,2,4,11,-8,-9,14,-6,-5,7,,,,,,,,,,
025100_2..N08R::1404705600.0,-198,16,18,13,22,15,3,62,5,18,109,13,0,-19,1,6,7,4,5,22,-15,-6,-25,4,-11,-68,14,39,71,-14,4,7,-3,10,13,12,-4,-9,0,-28,14,5,2,-1,14,-8,14,-26,11,,,,,,,,,,,5,-9,9,-11,-2,8,15,4,-3,5,13,-6,,,,,,,,,,
027100_2..N08R::1404705600.0,-69,-8,-56,42,17,-5,15,16,-1,3,86,-5,14,-19,3,6,11,20,2,18,-8,7,-13,11,-4,10,10,53,59,-3,-24,12,13,10,2,-9,12,1,19,8,14,22,2,7,-20,9,-63,16,6,,,,,,,,,,,17,7,12,-12,14,-12,-5,7,0,6,-24,16,,,,,,,,,,
029100_2..N08R::1404705600.0,23,0,17,32,-38,19,14,21,20,15,-77,-10,21,11,2,3,16,23,18,5,-6,26,12,30,-38,11,24,75,110,12,9,6,11,4,26,-2,1,14,42,9,14,18,19,0,61,23,-10,25,27,,,,,,,,,,,-27,-46,26,18,-1,-13,-3,-1,21,-6,18,-10,,,,,,,,,,
030700_2..N08R::1404705600.0,21,-11,2,14,13,-1,11,2,9,9,88,-13,8,-19,-3,-14,22,0,-23,16,2,6,15,-31,7,-3,17,40,63,-6,-5,6,5,0,-1,11,-7,2,11,-19,-19,11,-4,10,30,12,-4,-12,-5,,,,,,,,,,,-16,9,-12,-3,-6,4,-13,15,-4,8,3,-22,,,,,,,,,,
032200_2..N01R::1404705600.0,-15,-11,-10,22,-9,10,2,23,21,7,-3,-14,-23,11,10,4,11,-10,-18,-4,8,-32,6,10,-15,9,-3,39,-2,0,-6,7,-5,5,16,20,10,4,-2,13,5,3,1,-53,-2,13,-14,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033550_2..N01R::1404705600.0,24,-5,8,23,9,-9,15,6,1,16,71,5,18,-19,-31,-12,2,-4,14,21,-2,6,-10,0,-4,-9,-7,70,1,2,17,8,16,-15,26,-13,5,5,20,-3,-4,-3,11,13,29,-74,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035050_2..N01R::1404705600.0,28,8,-10,24,11,-7,-20,10,-7,16,-15,4,-17,-19,0,-10,13,-2,9,-8,-1,3,-6,-12,2,84,-62,60,-2,3,-12,-2,11,-10,-4,1,3,6,6,-3,6,-9,17,11,55,-9,-18,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036250_2..N01R::1404705600.0,6,11,12,34,-12,11,-4,-34,-6,2,11,10,16,-19,-28,-13,16,12,-1,10,0,13,-76,-4,-13,21,5,49,35,6,-10,22,11,1,19,7,3,10,-1,1,0,-19,12,12,31,14,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037350_2..N01R::1404705600.0,-63,3,-5,37,-11,10,-1,6,3,-8,102,4,26,-49,4,-3,9,11,-6,13,16,18,-4,13,3,8,5,62,83,10,4,5,3,17,14,-4,-8,48,2,0,18,-10,12,-14,28,-5,-6,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038550_2..N01R::1404705600.0,13,-18,7,8,10,12,-6,2,13,9,87,-7,25,-19,-13,9,3,21,2,8,-11,18,13,-8,-11,16,13,45,-11,-5,12,21,-6,9,9,8,-12,-2,-8,15,-33,13,6,2,50,11,4,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039650_2..N01R::1404705600.0,16,12,10,35,-6,11,17,6,-11,35,6,3,10,71,-16,16,1,-2,-6,0,0,-1,15,-5,-11,-9,5,61,0,-5,-12,-18,5,7,34,9,8,2,21,-5,-4,6,-25,9,18,11,6,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040650_2..N01R::1404705600.0,26,0,1,32,1,17,-53,19,68,-2,57,-2,26,11,10,3,13,11,3,17,-25,11,-20,-10,19,12,9,44,9,19,21,1,-6,2,2,-1,16,-59,-2,18,-4,-3,21,-3,25,-20,2,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041650_2..N01R::1404705600.0,15,11,-15,13,4,-7,2,14,68,8,91,-6,19,-19,7,-5,-17,17,5,-6,-12,-5,-16,-14,3,5,14,47,48,-2,12,10,-8,-7,-1,3,-5,5,0,13,-2,9,-9,-16,30,18,8,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042350_2..N01R::1404705600.0,14,-8,19,60,19,-5,-3,19,9,-4,24,-2,-66,-19,27,17,-3,1,0,28,-26,31,20,22,-4,19,27,66,-9,21,15,24,3,11,28,-3,19,47,7,134,17,0,-2,11,175,10,-10,-3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043300_2..N01R::1404705600.0,31,-2,3,40,-4,-4,28,3,19,14,162,12,-2,11,-1,-12,-22,25,-7,-2,0,0,-19,12,18,-2,183,40,27,-7,-12,21,16,10,-1,-6,0,-38,0,5,-1,0,18,10,29,26,4,-13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044200_2..N01R::1404705600.0,10,8,-4,14,3,-13,13,7,157,22,71,15,15,-19,-9,11,-10,6,-20,13,-18,6,14,-11,-10,15,164,53,10,-7,2,17,-2,6,-2,3,16,-3,13,4,14,8,7,5,23,6,-7,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044850_2..N01R::1404705600.0,40,16,-34,31,6,22,7,30,87,1,82,-30,-34,11,17,-5,29,10,7,12,20,-72,8,8,13,61,8,65,4,17,15,42,11,-7,19,13,10,18,11,38,-9,15,9,-9,41,22,-5,-38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045800_2..N01R::1404705600.0,19,-8,14,45,-3,-2,-3,13,13,14,-4,6,18,101,-16,-13,1,17,20,0,10,-97,7,5,2,148,-4,56,-1,11,1,9,0,-14,24,16,5,-16,22,7,4,10,11,21,33,10,14,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046600_2..N01R::1404705600.0,20,-11,-6,37,-5,4,-7,9,10,2,4,-15,19,-19,-10,14,-1,1,-6,12,-4,2,3,-8,0,124,0,65,3,4,-10,30,-13,-3,3,10,-2,9,-10,114,6,-1,-9,10,9,13,-12,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047150_2..N01R::1404705600.0,8,15,11,18,-3,17,1,18,-3,26,24,18,27,131,9,10,28,28,3,22,0,40,9,-8,14,73,1,54,23,13,10,38,12,-4,18,26,0,9,8,33,-20,16,12,7,40,22,18,-9,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047700_2..N01R::1404705600.0,5,7,-24,8,-13,-10,11,-9,6,15,63,1,-57,161,-12,-2,13,-3,117,16,-27,-66,16,10,14,3,14,40,-28,25,-4,34,4,13,13,-30,16,-12,6,-4,-16,17,5,-10,16,5,-3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048450_2..N01R::1404705600.0,10,22,14,10,12,9,12,-5,15,6,20,-5,30,191,0,9,36,6,1,19,3,12,-82,10,-14,137,21,54,1,-5,-7,20,12,2,18,19,5,-1,40,28,0,9,29,3,27,15,7,3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048950_2..N01R::1404705600.0,-83,-13,6,19,-34,0,12,-1,23,30,13,-25,42,221,16,10,13,25,2,-3,-12,57,16,-4,-27,16,3,17,10,6,9,16,-64,-8,-13,11,6,33,-5,19,-6,1,16,5,29,26,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049400_2..N01R::1404705600.0,6,5,-7,28,-2,-28,4,24,1,23,13,-5,-32,191,16,4,20,13,12,-6,-5,-74,-12,-8,2,63,10,37,35,-4,7,28,16,-41,-19,3,17,-1,6,3,17,-9,12,-1,7,15,-7,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050250_2..N01R::1404705600.0,31,1,15,94,-11,11,19,16,55,20,105,-8,-5,41,10,4,54,-3,5,9,,-75,-6,5,-13,32,18,60,32,-6,11,10,-5,7,40,-6,23,-38,1,10,-2,9,7,0,26,11,7,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050700_2..N01R::1404705600.0,-84,6,-10,9,-1,-9,15,5,14,39,7,19,33,41,-12,1,6,15,-9,8,4,25,11,-53,-4,122,47,62,21,-3,-6,15,-8,16,11,0,24,-10,14,26,-23,1,10,-84,20,11,-12,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051350_2..N01R::1404705600.0,-136,-10,-8,45,-3,-3,15,-5,-4,11,54,-1,12,-109,-24,11,-1,16,13,-2,6,6,-7,10,4,19,-11,50,5,7,-33,26,12,-7,16,21,-3,107,-13,40,8,-7,17,8,18,7,-11,-2,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051950_2..N01R::1404705600.0,-216,-8,10,23,-11,8,3,17,60,22,43,-9,24,-49,13,-14,4,16,15,2,15,-8,-8,1,-12,14,26,66,60,3,4,6,-7,5,25,14,3,57,-2,10,-10,8,29,12,29,2,3,6,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052550_2..N01R::1404705600.0,-338,0,-28,61,-5,-15,14,12,6,37,19,-4,37,-49,11,17,12,14,23,22,9,26,-6,18,17,56,24,71,31,3,21,37,6,-1,-23,-30,15,3,19,38,-9,13,14,-8,51,43,1,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053150_2..N02R::1404705600.0,-4,3,13,68,6,15,13,10,10,-3,16,-7,38,71,20,-10,-15,52,4,24,-9,52,1,-10,13,196,28,,7,20,-24,33,-3,-3,16,0,13,16,22,3,5,-4,21,17,30,-17,11,-2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054050_2..N01R::1404705600.0,-245,18,-3,-6,7,-1,35,-7,8,52,37,-7,20,-139,15,3,-33,39,12,6,0,31,0,10,-36,68,14,57,19,-18,14,7,7,2,21,16,17,138,19,6,-8,18,-6,-1,32,5,-2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054600_2..N01R::1404705600.0,-237,6,-3,32,8,10,-1,22,69,24,44,-33,13,-49,18,-8,-3,22,7,6,12,5,-15,-6,6,23,-14,60,12,-2,1,12,9,9,20,7,18,64,15,-21,16,14,2,13,-23,5,-6,15,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055050_2..N01R::1404705600.0,-254,9,5,34,4,-4,-3,23,22,0,15,0,-1,191,-6,-91,23,11,17,6,14,-68,-6,-5,27,86,6,64,15,-4,-4,49,-1,4,33,-2,3,-61,1,21,2,6,-2,27,14,12,8,-16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055700_2..N01R::1404705600.0,-254,27,9,48,17,-24,8,25,10,10,15,3,39,101,0,1,-5,52,5,24,10,14,9,-2,5,-46,1,50,21,18,-2,9,18,-4,20,-23,9,-71,12,13,2,-3,11,-5,9,-2,13,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056300_2..N01R::1404705600.0,3,106,1,20,11,14,-7,1,4,18,15,-8,-32,41,15,13,14,4,1,3,-18,-46,12,0,-9,79,1,57,22,-9,3,4,-6,13,8,10,-21,-4,-5,8,-12,0,2,-26,18,16,-3,9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056850_2..N01R::1404705600.0,107,218,11,18,20,-7,18,-18,80,15,23,5,-128,41,33,6,9,-1,17,-3,-1,3,10,7,-3,11,24,43,28,-8,-26,12,17,10,18,20,0,-4,25,175,12,19,0,3,9,24,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057550_2..N01R::1404705600.0,-245,162,-7,47,-1,17,43,7,-14,5,25,13,32,221,5,-12,-7,17,1,28,15,8,-15,15,-10,-5,24,55,5,-3,1,23,-1,-1,-5,-3,-5,-89,12,0,16,9,19,10,9,8,-10,-11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058400_2..N01R::1404705600.0,-248,56,13,12,9,-24,-15,17,-6,-7,18,9,30,221,13,-61,-4,7,5,60,-5,71,-9,13,10,-1,7,62,19,-2,14,36,0,-23,10,-7,14,-56,12,26,-2,-10,-5,13,17,3,8,-3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059100_2..N01R::1404705600.0,-223,2,5,23,-6,0,26,19,15,7,22,-14,61,131,11,-8,5,17,0,0,3,-6,17,-9,6,103,0,276,-2,19,-10,8,4,-9,25,2,-23,-72,-7,33,1,11,10,-12,29,-7,10,-3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060150_2..N01R::1404705600.0,-241,-9,17,105,8,6,19,48,16,10,20,6,15,-19,-2,9,6,28,-38,45,-24,6,17,17,9,41,24,58,29,-7,9,26,-2,-5,14,18,10,-4,-10,22,16,-9,20,2,30,30,-10,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061150_2..N01R::1404705600.0,-204,6,11,38,-11,4,1,19,4,-6,177,-8,-11,11,12,-3,3,7,-5,19,-15,18,12,7,10,24,4,53,11,5,7,18,7,20,29,-8,7,-9,-5,15,-7,17,13,-5,12,-1,6,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062100_2..N01R::1404705600.0,-185,25,24,92,8,4,-5,-1,-7,13,12,-7,19,-139,25,4,15,-19,-7,21,4,-48,15,-2,3,0,59,58,-27,-8,17,22,7,15,20,2,15,108,-2,11,-9,14,6,10,0,-4,-6,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062650_2..N01R::1404705600.0,-194,17,-2,93,-12,14,-16,30,-1,0,18,-7,19,11,19,13,6,16,-18,14,10,-42,-9,20,11,108,2,60,9,-1,-11,30,12,18,21,21,6,2,20,11,-32,20,3,7,1,14,-2,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063200_2..N01R::1404705600.0,-257,-2,10,33,12,6,-5,7,-7,24,-5,-17,23,131,16,14,18,19,-2,24,10,9,-8,1,3,69,2,43,9,-5,-28,29,11,12,16,12,10,-1,3,22,6,10,-5,7,7,7,11,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052350_2..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063750_2..N01R::1404705600.0,-297,-10,6,85,12,-4,4,15,-3,0,17,-4,4,281,8,3,-4,27,18,-27,3,30,-2,-2,-4,-3,17,45,10,8,-12,24,1,12,10,2,3,-45,12,12,3,-25,6,-5,-4,11,12,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065050_2..N01R::1404705600.0,-247,-7,-10,82,12,-2,13,67,-8,11,12,-3,29,-79,4,-6,18,-7,3,-3,8,6,-35,10,7,-3,14,62,-8,4,0,208,4,-5,-4,22,-7,68,10,166,8,20,23,12,62,18,-11,-14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065850_2..N01R::1404705600.0,-212,4,-7,44,-6,16,48,0,-10,39,8,-5,9,-49,13,0,7,11,-6,2,6,3,-5,-80,-11,189,13,77,3,8,-6,94,34,6,22,-1,13,13,16,5,10,17,3,-10,11,23,-10,5,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066650_2..N01R::1404705600.0,-180,6,14,32,19,24,5,22,33,27,74,17,20,41,4,7,17,26,12,-18,-4,6,17,-3,-9,99,9,50,15,11,13,18,41,7,26,7,8,13,25,17,22,17,-1,4,22,13,19,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067350_2..N01R::1404705600.0,-200,8,12,71,3,20,-3,19,7,13,8,-28,16,-19,-70,6,33,12,125,-4,0,27,14,-4,23,2,2,49,13,-8,15,8,12,-3,8,6,6,-5,26,-13,-5,-10,22,1,16,19,-4,-12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068150_2..N01R::1404705600.0,-189,-7,9,5,13,1,10,13,-15,6,33,-6,19,161,14,7,21,6,8,24,1,3,11,-1,6,17,22,17,-3,-9,-17,18,16,-36,-2,-15,-3,-9,7,-12,-4,-10,15,-1,11,16,7,-8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01R::1404705600.0,-191,-34,0,19,16,-5,17,13,10,-2,21,0,15,191,22,-5,26,5,4,0,-7,-32,-1,-5,-6,21,-35,49,-1,1,3,26,6,6,3,-25,3,-4,-36,13,4,6,-5,-10,8,12,4,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_2..N01R::1404705600.0,-206,-24,-1,29,-13,-2,11,23,29,14,1,-22,14,41,5,-14,21,73,25,-8,-19,-2,33,-11,2,27,25,48,26,-5,2,21,13,-6,27,2,10,0,9,26,14,-3,-9,9,47,21,-6,-6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070550_2..N01R::1404705600.0,39,8,-9,22,-31,5,5,-4,-7,36,28,6,16,191,6,-5,-1,13,-17,2,10,16,-6,-12,12,26,14,66,3,-9,-4,-8,14,0,8,4,-4,-6,12,-1,7,-2,0,-3,42,-3,-14,-4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01R::1404705600.0,-181,0,20,43,-8,8,12,8,-6,25,22,13,25,71,5,-2,13,14,16,16,-4,20,-3,20,9,268,13,36,5,0,10,25,-1,-37,27,-4,-3,-1,22,33,16,24,11,-28,14,8,-6,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072150_2..N01R::1404705600.0,-168,-5,24,30,10,15,-24,13,8,18,5,16,24,-49,18,19,13,9,29,20,4,20,-1,-4,10,34,2,61,26,15,5,1,15,-7,-18,-4,-21,13,11,0,6,15,-23,8,15,-23,9,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072950_2..N01R::1404705600.0,-208,5,-16,27,2,22,5,85,-3,17,31,13,16,-19,-10,15,-8,18,21,10,11,12,13,-9,16,18,20,51,42,16,-3,34,13,-9,6,0,21,11,6,-6,6,12,12,12,24,-3,11,21,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_2..N01R::1404705600.0,-195,12,-8,-15,9,-12,7,32,80,16,72,6,4,-19,31,-4,7,-5,6,-4,-5,-5,-2,-12,-6,3,16,65,-8,-16,-11,18,-25,16,29,5,19,51,20,4,6,-12,3,-18,66,-15,-11,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074550_2..N01R::1404705600.0,-185,-3,-5,35,11,17,-7,-18,74,13,-3,4,30,-49,0,-11,20,-10,-3,13,6,7,-8,12,-9,-1,4,50,23,-3,52,12,-9,2,13,-6,9,64,-4,21,-14,-1,23,12,30,21,-6,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075350_2..N01R::1404705600.0,43,9,-16,-11,-5,-6,-1,13,48,3,74,-11,19,-79,-14,-6,10,-4,0,13,-12,-10,7,-14,-25,3,10,53,91,-10,10,13,13,-5,-3,0,13,114,-6,10,-7,2,-5,-16,12,4,6,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_2..N01R::1404705600.0,-145,10,-7,249,-12,-12,-61,16,11,18,95,0,50,-19,10,-2,-5,-25,15,0,12,24,-7,-11,-35,10,146,74,12,3,-1,26,-3,11,16,0,1,12,14,-2,11,16,-2,-11,18,-7,-11,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076950_2..N01R::1404705600.0,-167,18,42,74,0,-5,-1,21,-4,12,24,1,29,221,-15,7,32,14,-3,-5,15,10,8,17,-3,0,3,49,4,-11,3,32,-8,9,11,18,10,-5,10,-18,10,-3,27,-35,36,25,14,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077750_2..N01R::1404705600.0,-200,3,-4,50,-21,-88,10,-5,-5,-7,-1,-9,5,71,-2,-25,22,3,-13,-7,-11,12,14,-6,-3,58,-2,63,6,-7,1,24,2,13,18,2,6,0,26,14,-12,11,4,-22,29,-3,0,-9,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_2..N01R::1404705600.0,-188,-11,-1,17,-10,-89,2,-5,63,8,-5,10,25,11,11,-6,17,1,-6,23,-18,-4,-9,-4,1,-48,6,44,86,3,3,7,-7,-8,-3,12,-7,10,-1,6,-19,6,-7,-17,27,-77,-5,-15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079350_2..N01R::1404705600.0,-307,2,10,43,12,-5,10,10,93,34,23,14,37,-49,22,5,7,10,15,26,9,22,12,-34,24,7,-10,54,16,16,-3,-1,1,5,19,-23,19,16,15,-6,4,7,22,4,55,20,10,-1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080150_2..N01R::1404705600.0,-307,-6,10,19,13,3,14,-14,66,-10,18,-13,20,-49,2,-13,-2,12,16,26,2,7,-12,1,10,-9,-3,49,74,0,-13,7,3,-2,16,16,5,63,13,7,-29,16,22,9,25,-3,7,-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_2..N01R::1404705600.0,-263,24,-10,20,8,10,19,5,57,-2,3,3,14,-19,-7,-17,16,12,-7,-21,-19,9,13,13,-12,-61,124,46,2,-33,-3,9,13,4,29,-7,8,-2,-9,23,9,-10,-8,6,23,11,-13,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081750_2..N01R::1404705600.0,-261,8,-6,46,7,11,10,48,64,9,14,3,13,-19,6,-12,-10,36,-11,17,-2,21,-3,18,-12,10,2,53,8,13,-13,15,8,-7,-2,1,8,-15,13,-4,5,-8,17,-4,16,12,-14,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082550_2..N01R::1404705600.0,-367,0,20,36,25,3,23,16,13,4,31,9,29,-49,1,14,21,26,7,42,1,28,-9,-1,34,-9,8,40,17,30,14,15,9,12,22,3,5,50,-1,27,22,12,31,9,12,19,-5,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_2..N01R::1404705600.0,-251,-15,-4,69,-10,8,-59,39,61,-2,6,4,33,-19,9,11,1,5,-6,2,-1,38,-2,-7,14,21,-3,66,8,10,-8,17,-2,3,23,10,-3,-13,18,-4,9,-26,-4,-2,-4,53,-9,4,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084150_2..N01R::1404705600.0,-269,-3,14,31,-12,-24,-7,29,25,21,19,-15,7,41,0,-3,16,28,2,23,-12,10,-2,10,6,1,6,72,48,5,1,35,5,11,10,-6,11,12,-3,6,8,11,3,-15,10,0,16,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084950_2..N01R::1404705600.0,-97,-29,-7,49,0,14,10,-4,35,-11,5,-17,10,-79,-10,-67,20,11,21,16,8,-4,-77,13,-8,-3,16,50,9,4,-4,12,4,-15,19,62,4,73,6,-2,7,12,13,4,58,14,-11,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
